"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 14 10:38:01 IST 2024","Thu Mar 14 10:38:14 IST 2024","13471","Default Suite","MyWebProjQa41","tests.PhoneBookTest","tests.PhoneBookTest","loginOfAnExistingUserAddContact","The test of login with exist user and add new contact","User already exist. Login and add contact."
"passed","Wed Mar 06 20:38:22 IST 2024","Wed Mar 06 20:38:25 IST 2024","2264","Default Suite","MyWebProjQa41","tests.PhoneBookTest","tests.PhoneBookTest","registrationWithoutPassword","The test checks the empty field warning declaration.","User already exist. Login and add contact.!"
"passed","Thu Mar 14 23:18:33 IST 2024","Thu Mar 14 23:18:47 IST 2024","13308","Suite2","Create contact","tests.PhoneBookTest","tests.PhoneBookTest","loginOfAnExistingUserAddContact","The test of login with exist user and add new contact","User already exist. Login and add contact."
"broken","Thu Mar 14 11:55:45 IST 2024","Thu Mar 14 11:56:11 IST 2024","26341","Default Suite","MyWebProjQa41","tests.PhoneBookTest","tests.PhoneBookTest","posDeleteExistUserFromContactsList","The positive test of deleting user from contacts list","The positive test of deleting user from contacts list"
"broken","Fri Mar 08 10:56:13 IST 2024","Fri Mar 08 10:56:13 IST 2024","1","Suite1","EdgeTasts","tests.PhoneBookTest","tests.PhoneBookTest","setUp","setUp",""
"broken","Fri Mar 08 10:53:37 IST 2024","Fri Mar 08 10:53:37 IST 2024","2","Suite1","FireFoxTasts","tests.PhoneBookTest","tests.PhoneBookTest","setUp","setUp",""
"passed","Thu Mar 14 23:18:50 IST 2024","Thu Mar 14 23:18:57 IST 2024","6682","Suite2","Delete contact","tests.PhoneBookTest","tests.PhoneBookTest","posDeleteExistUserFromContactsList","The positive test of deleting user from contacts list","The positive test of deleting user from contacts list"
"broken","Sun Mar 10 16:04:43 IST 2024","Sun Mar 10 16:04:43 IST 2024","2","Default Suite","MyWebProjQa41","tests.PhoneBookTest","tests.PhoneBookTest","tearDown","tearDown",""
"passed","Thu Mar 14 23:16:24 IST 2024","Thu Mar 14 23:16:30 IST 2024","6807","Suite2","Create contact","tests.PhoneBookTest","tests.PhoneBookTest","positiveRegistrationWithCorrectLoginAndPassword","The positive registration test  with correct login and password","Enter correct login and password"
"skipped","Fri Mar 08 10:56:13 IST 2024","Fri Mar 08 10:56:13 IST 2024","1","Suite1","EdgeTasts","tests.PhoneBookTest","tests.PhoneBookTest","loginOfAnExistingUserAddContact","The test of login with exist user and add new contact",""
"passed","Mon Mar 11 00:10:53 IST 2024","Mon Mar 11 00:10:59 IST 2024","6729","Default Suite","MyWebProjQa41","tests.PhoneBookTest","tests.PhoneBookTest","positiveRegistrationWithCorrectLoginAndPassword","The positive registration test  with correct login and password","Enter correct login and password"
